step,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
840,-0.19306568801403046,-0.19306568801403046,0.30278560519218445,-0.29322028160095215,0.0,0.09058926999568939,0.5547334551811218,0.30278560519218445,0.29322028160095215,0.18686175346374512,0.11592383682727814,0.78125,0.21875,0.0001708691706880927
850,-0.1818314492702484,-0.1818314492702484,0.3064034581184387,-0.2921437621116638,0.0,0.0960526093840599,0.5521144866943359,0.3064034581184387,0.2921437621116638,0.1829908788204193,0.1234125941991806,0.6875,0.3125,0.0002043157146545127
860,-0.17421282827854156,-0.17421282827854156,0.31261885166168213,-0.2931709587574005,0.0,0.09951023757457733,0.55319744348526,0.31261885166168213,0.2931709587574005,0.18029308319091797,0.13232579827308655,0.6875,0.21875,0.00020835000032093376
870,-0.2706395983695984,-0.2706395983695984,0.24831408262252808,-0.29347842931747437,0.0,0.06800316274166107,0.5538463592529297,0.24831408262252808,0.29347842931747437,0.18408820033073425,0.06422587484121323,0.6875,0.4375,0.00015935036935843527
880,-0.25763869285583496,-0.25763869285583496,0.2578608989715576,-0.2906196713447571,0.0,0.06573974341154099,0.5533273220062256,0.2578608989715576,0.2906196713447571,0.1785273551940918,0.07933353632688522,0.6875,0.3125,0.00014482738333754241
890,-0.17303000390529633,-0.17303000390529633,0.3078801929950714,-0.29012662172317505,0.0,0.09934304654598236,0.5526765584945679,0.3078801929950714,0.29012662172317505,0.1840970665216446,0.12378313392400742,0.625,0.25,0.00015876810357440263
900,-0.2977275252342224,-0.2977275252342224,0.23309484124183655,-0.2961689829826355,0.0,0.061515599489212036,0.553918719291687,0.23309484124183655,0.2961689829826355,0.19521883130073547,0.03787600249052048,0.75,0.46875,0.00012563473137561232
910,-0.274580717086792,-0.274580717086792,0.25190073251724243,-0.29395920038223267,0.0,0.061436958611011505,0.5515493154525757,0.25190073251724243,0.29395920038223267,0.18942153453826904,0.06247921660542488,0.6875,0.375,0.00012658150808420032
920,-0.22624939680099487,-0.22624939680099487,0.2775668501853943,-0.2926012873649597,0.0,0.08138632029294968,0.5529308319091797,0.2775668501853943,0.2926012873649597,0.19147096574306488,0.0860959142446518,0.6875,0.3125,0.00016638953820802271
930,-0.22230923175811768,-0.22230923175811768,0.28374865651130676,-0.2895813584327698,0.0,0.07310483604669571,0.5550990104675293,0.28374865651130676,0.2895813584327698,0.18313029408454895,0.100618377327919,0.71875,0.28125,0.00017334336007479578
940,-0.22416210174560547,-0.22416210174560547,0.28386151790618896,-0.2916790843009949,0.0,0.07533454149961472,0.5538586974143982,0.28386151790618896,0.2916790843009949,0.1808309406042099,0.10303056240081787,0.5625,0.1875,0.0001439968473277986
950,-0.22884902358055115,-0.22884902358055115,0.266165167093277,-0.2880111336708069,0.0,0.08100807666778564,0.5549609065055847,0.266165167093277,0.2880111336708069,0.17619702219963074,0.08996817469596863,0.5625,0.375,0.00013173713523428887
960,-0.26067817211151123,-0.26067817211151123,0.24534858763217926,-0.2927832007408142,0.0,0.07953966408967972,0.5540511012077332,0.24534858763217926,0.2927832007408142,0.18166130781173706,0.0636872872710228,0.6875,0.53125,0.00018125565839000046
970,-0.2515377998352051,-0.2515377998352051,0.25955724716186523,-0.2933327257633209,0.0,0.07557038962841034,0.5556970238685608,0.25955724716186523,0.2933327257633209,0.1912166178226471,0.06834062188863754,0.59375,0.40625,0.0001401790214003995
980,-0.33019331097602844,-0.33019331097602844,0.20319059491157532,-0.28908443450927734,0.0,0.04478495195508003,0.556466817855835,0.20319059491157532,0.28908443450927734,0.1793944239616394,0.023796172812581062,0.625,0.53125,0.00015972511027939618
990,-0.17848987877368927,-0.17848987877368927,0.30793118476867676,-0.2920810580253601,0.0,0.09774105250835419,0.5573979616165161,0.30793118476867676,0.2920810580253601,0.18380606174468994,0.1241251602768898,0.71875,0.21875,0.00011243508197367191
999,-0.25059789419174194,-0.25059789419174194,0.25531095266342163,-0.28625428676605225,0.0,0.06659972667694092,0.5574549436569214,0.25531095266342163,0.28625428676605225,0.1742403209209442,0.08107060939073563,0.6666666865348816,0.3333333432674408,0.0001595200301380828
